versionid                           ,activityid                          ,activityname                                                                                                                                                                                            ,activityexternalkey                                                                                                                                                                                     ,journeyactivityobjectid             ,activitytype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,AFCB75E2-AC9A-4C90-9863-5BD950826859,Start Activity                                                                                                                                                                                          ,af584198-5f12-4ba4-9458-f0b1a6dd8f71                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,4895779A-977C-4257-8944-705442BB7C69,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,F697307F-5938-4341-8B2E-70553A3C2C56,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,CC2E7F58-5210-450C-B6D7-81872A4BB647,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,760E0B6B-46CF-472D-9CC6-8DC6C743E9E0,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,63FE8C96-6CC9-425B-B804-96561CEC78CF,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,22365125-36BF-437D-B1B9-AB6FFA246F49,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,5F0B613F-6F10-4864-9B42-D7BE119517B1,Stop                                                                                                                                                                                                    ,fe0281d2-32e1-46bd-83e2-01c31b931f49                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,880D0C2E-7B94-486A-B5CC-DDF9E1158CF6,Stop                                                                                                                                                                                                    ,d31bf940-b286-405c-a167-38fddbfcdf7b                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
213BEC44-435C-4E24-9056-1716B196C058,C6D38729-2EB3-4400-8DC0-0C4A73E679C3,Stop                                                                                                                                                                                                    ,115908cc-8c53-4e75-a8c0-35002792d8b2                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
213BEC44-435C-4E24-9056-1716B196C058,3C653AC7-A635-431A-B3F3-21FF3EC03DE3,Start Activity                                                                                                                                                                                          ,49e7e581-164b-41eb-8569-662b7ec71d77                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
213BEC44-435C-4E24-9056-1716B196C058,77CA214B-A2BC-414B-A58D-9005F4E76592,NULL                                                                                                                                                                                                    ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
213BEC44-435C-4E24-9056-1716B196C058,EDD995BA-B6F7-4AE0-90B6-9EAC1B717B07,F21Bday                                                                                                                                                                                                 ,EMAILV2-2                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
213BEC44-435C-4E24-9056-1716B196C058,E2CBFA6F-10C7-4C64-8DB7-EE49DC6F897C,TRIGGER                                                                                                                                                                                                 ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,CloudPagesSmartCaptureSubmissionEvent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2A9F22D8-D96F-41A0-88F5-173553156412,5058F35C-4D99-4463-91CD-0A7A599C01EF,Start Activity                                                                                                                                                                                          ,105d37b2-8c49-49f7-b208-b757aeb7cb0c                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2A9F22D8-D96F-41A0-88F5-173553156412,C0486834-010B-4269-BA1A-0F895169FA2A,PROMO_20230214_PUSH_VDayExtra14OffLC_STO                                                                                                                                                                ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2A9F22D8-D96F-41A0-88F5-173553156412,83CA501C-EBE4-4796-AFE0-11C1E774C3DF,Stop                                                                                                                                                                                                    ,3d93fee0-2b6b-492a-9b9f-81f56704eab7                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2A9F22D8-D96F-41A0-88F5-173553156412,02C9BAFC-2EE8-4CD4-8F49-8C7B23CDDEDF,1 minute                                                                                                                                                                                                ,WAITBYDURATION-4                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2A9F22D8-D96F-41A0-88F5-173553156412,A26EC0D0-3FC2-4B23-AB48-A2C1D00E9C64,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2A9F22D8-D96F-41A0-88F5-173553156412,2304B71B-5276-483F-BFDB-E2D54B1CE2EE,Einstein STO - 10 Hours                                                                                                                                                                                 ,STOWAIT-1                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,STOWAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
788764F5-F314-4613-BF4A-1858A991A421,FF9C8EDA-72B8-4905-9ECB-0A3E42019633,1 day                                                                                                                                                                                                   ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
788764F5-F314-4613-BF4A-1858A991A421,1B4C84A3-12BA-4313-A8CF-25385C5811AC,PROMO_20230120_TREND_SpringLayers_ActiveClicksH_B                                                                                                                                                       ,EMAILV2-2                                                                                                                                                                                               ,3391AF24-4498-ED11-B84E-48DF37E42071,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
788764F5-F314-4613-BF4A-1858A991A421,F30E8E0C-E96E-4061-ABD8-40B632308462,Start Activity                                                                                                                                                                                          ,4b2254c9-95b1-4591-8c3b-45d5ccf40925                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
788764F5-F314-4613-BF4A-1858A991A421,C34BFE68-BBB9-44AF-B730-53EDD1146615,Einstein STO - 6 Hours                                                                                                                                                                                  ,STOWAIT-1                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,STOWAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
788764F5-F314-4613-BF4A-1858A991A421,4A268A7B-EAD3-4BCD-AF1B-541476F00013,TRIGGER                                                                                                                                                                                                 ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,EmailAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
788764F5-F314-4613-BF4A-1858A991A421,F1CEE3D5-703D-4F35-A8E5-CE3AEF0E0F5F,Stop                                                                                                                                                                                                    ,e7d0a17e-5ed1-4d42-a7c0-c8ae1af9cf5d                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,FB3E9D8C-948A-4C59-9D21-044CE5097EC0,TEST_F21_US_LapsedUsers_                                                                                                                                                                                ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,C11A3544-C4BB-4126-B791-27FF545A43B9,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,9207E432-E0B5-4189-94F7-19FD5BF5A50F,TEST_F21_US_ShipToStore_Push_Reminder2                                                                                                                                                                  ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,00F75EE4-4F22-4CA2-A04A-6A183B5602F9,Start Activity                                                                                                                                                                                          ,b3a242f1-797d-4397-83ab-79cb2c31510d                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,A7CE5D97-2B9C-4602-85D8-7094C011D8B7,Stop                                                                                                                                                                                                    ,04842319-d1ae-4eb7-87c2-5ee25a4ff2cc                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,F39D6635-2D59-4492-9DE9-78BFC0F4C0CF,5 minutes                                                                                                                                                                                               ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,AAC62363-5EDC-4F27-BB33-7E6F3A3559F1,1 day                                                                                                                                                                                                   ,WAITBYDURATION-13                                                                                                                                                                                       ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,D1CDED26-9119-4DEB-B10F-93D0BDB8E526,TEST_F21_US_ShipToStore_Push                                                                                                                                                                            ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,5548E200-A32F-44FA-B264-AA7F9EADB041,1 minute                                                                                                                                                                                                ,WAITBYDURATION-7                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,46F59DD2-7B71-4F4D-A6B6-ABB79895B087,TEST_F21_US_ShipToStore_Push_Reminder1                                                                                                                                                                  ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,9C41643D-6C29-4134-A118-01010F4D9B01,Start Activity                                                                                                                                                                                          ,882f0660-9056-48d2-bf39-c673656ea475                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,70C9C0C0-AED3-4333-9B5D-18BF468B2BE6,Update Contact - TEST_AddItemToWishlist                                                                                                                                                                 ,UPDATECONTACTDATAV2-1                                                                                                                                                                                   ,00000000-0000-0000-0000-000000000000,UPDATECONTACTDATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,ACE91330-C008-47F2-AEC5-2944EA5C96EA,1 minute                                                                                                                                                                                                ,WAITBYDURATION-4                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,8453CD36-5EC2-4013-BB3C-2EECCE889F5D,TRIGGER                                                                                                                                                                                                 ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,PushInAppEntryEvent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,C4B2BBB6-FEA7-4032-98AB-A59BE286A3F5,Stop                                                                                                                                                                                                    ,76f2db30-d58a-4c1d-bab3-7327cd3ef368                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
E3B667BE-AEC9-404A-8781-1944D265ACDC,E3059018-530C-4BCB-8B94-051D0EFAECD0,1 day                                                                                                                                                                                                   ,WAITBYDURATION-6                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
E3B667BE-AEC9-404A-8781-1944D265ACDC,AD59F873-A91F-4323-9780-18E5BA19DA61,PI_US_Cart_Abandon_Touch1_PI_Recs                                                                                                                                                                       ,EMAILV2-2                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
E3B667BE-AEC9-404A-8781-1944D265ACDC,A8191C01-7497-4D33-B3D5-28C4D401B764,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
